Date,China,United States,Brazil,Belgium,France,Netherlands,Portugal,Spain,Sweden,Norway,Turkey,Argentina,Canada,Chile,Colombia,Mexico,Indonesia,Malaysia,South Korea,Taiwan,Thailand,India,Australia,New Zealand,Algeria,Egypt,Nigeria,South Africa,Czechia,Germany,Italy,Poland,Romania,United Kingdom,Kazakhstan,Russia,Ukraine,Uzbekistan,Venezuela,Japan,Iran,Kuwait,Saudi Arabia,United Arab Emirates
1990-01-01,874.307,1910.024,141.003,48.0,217.0,67.001,17.0,90.002,47.0,21.001,51.001,44.003,211.0,14.001,24.0,124.002,99.009,21.006,94.046,48.002,42.005,306.123,86.001,14.0,22.002,33.001,66.003,90.001,50.0,350.995,146.994,103.0,61.998,205.989,72.999,878.943,251.985,47.0,39.998,439.968,69.02,9.004,58.019,20.013
1990-01-02,874.425,1910.026,141.027,48.001,217.002,67.001,17.0,90.003,47.0,21.001,51.012,44.007,211.003,14.001,24.001,124.002,99.024,21.011,94.073,48.005,42.011,306.258,86.001,14.001,22.013,33.018,66.005,90.004,49.999,350.995,146.994,102.999,61.997,205.985,72.999,878.927,251.955,47.0,39.997,439.95,69.022,9.005,58.031,20.015
1990-01-03,874.967,1910.031,141.042,48.001,217.003,67.001,17.0,90.008,47.0,21.003,51.017,44.012,211.007,14.002,24.002,124.009,99.044,21.024,94.079,48.012,42.013,306.371,86.004,14.001,22.013,33.025,66.011,90.005,49.996,350.99,146.993,102.999,61.997,205.981,72.999,878.926,251.929,46.999,39.996,439.948,69.042,9.006,58.033,20.016
1990-01-04,875.088,1910.033,141.07,48.001,217.004,67.001,17.001,90.008,47.0,21.003,51.024,44.013,211.007,14.002,24.003,124.01,99.064,21.029,94.1,48.02,42.032,306.533,86.007,14.002,22.014,33.034,66.017,90.007,49.995,350.976,146.993,102.998,61.993,205.978,72.999,878.913,251.924,46.999,39.996,439.943,69.056,9.007,58.055,20.017
1990-01-05,875.288,1910.057,141.077,48.001,217.004,67.002,17.002,90.009,47.0,21.004,51.026,44.015,211.008,14.003,24.003,124.015,99.073,21.033,94.109,48.021,42.042,306.566,86.014,14.002,22.015,33.047,66.023,90.007,49.992,350.966,146.992,102.997,61.991,205.971,72.998,878.873,251.903,46.999,39.993,439.942,69.059,9.014,58.063,20.017
1990-01-06,875.626,1910.069,141.092,48.002,217.004,67.002,17.002,90.014,47.0,21.004,51.035,44.018,211.015,14.006,24.004,124.019,99.073,21.042,94.116,48.022,42.048,306.572,86.016,14.003,22.035,33.052,66.026,90.008,49.991,350.964,146.992,102.997,61.988,205.97,72.998,878.867,251.87,46.998,39.989,439.938,69.067,9.014,58.107,20.019
1990-01-07,876.052,1910.073,141.096,48.002,217.005,67.002,17.002,90.015,47.0,21.005,51.035,44.019,211.044,14.008,24.006,124.019,99.09,21.046,94.158,48.025,42.082,306.647,86.022,14.003,22.035,33.061,66.029,90.009,49.991,350.96,146.991,102.997,61.979,205.967,72.998,878.859,251.839,46.998,39.985,439.933,69.092,9.014,58.121,20.026
1990-01-08,876.16,1910.073,141.096,48.002,217.005,67.003,17.002,90.016,47.0,21.005,51.04,44.024,211.049,14.008,24.008,124.023,99.097,21.05,94.164,48.025,42.088,306.67,86.025,14.004,22.038,33.064,66.048,90.01,49.991,350.959,146.99,102.997,61.974,205.965,72.998,878.843,251.788,46.998,39.983,439.932,69.094,9.015,58.123,20.026
1990-01-09,876.309,1910.083,141.1,48.002,217.006,67.003,17.003,90.016,47.0,21.005,51.067,44.025,211.056,14.014,24.008,124.023,99.119,21.05,94.183,48.025,42.095,306.698,86.028,14.006,22.04,33.066,66.053,90.011,49.99,350.956,146.99,102.997,61.974,205.964,72.998,878.835,251.786,46.997,39.982,439.928,69.104,9.015,58.134,20.027
1990-01-10,876.924,1910.1,141.123,48.002,217.007,67.003,17.003,90.017,47.0,21.006,51.072,44.026,211.066,14.014,24.011,124.025,99.128,21.059,94.199,48.031,42.096,306.83,86.032,14.006,22.044,33.07,66.063,90.013,49.99,350.952,146.989,102.997,61.963,205.962,72.998,878.834,251.786,46.997,39.982,439.921,69.112,9.016,58.135,20.028
1990-01-11,877.082,1910.133,141.135,48.002,217.008,67.003,17.003,90.02,47.0,21.006,51.075,44.028,211.086,14.019,24.013,124.028,99.132,21.07,94.207,48.031,42.099,306.888,86.032,14.007,22.046,33.074,66.066,90.016,49.987,350.942,146.988,102.995,61.962,205.94,72.998,878.816,251.776,46.997,39.982,439.92,69.112,9.017,58.144,20.033
