Date,China,United States,Brazil,Belgium,France,Netherlands,Portugal,Spain,Sweden,Norway,Turkey,Argentina,Canada,Chile,Colombia,Mexico,Indonesia,Malaysia,South Korea,Taiwan,Thailand,India,Australia,New Zealand,Algeria,Egypt,Nigeria,South Africa,Czechia,Germany,Italy,Poland,Romania,United Kingdom,Kazakhstan,Russia,Ukraine,Uzbekistan,Venezuela,Japan
1990-01-01,874.188,1910.004,141.009,48.001,217.001,67.0,17.0,90.001,47.0,21.0,51.003,44.002,211.017,14.001,24.005,124.0,99.01,21.011,94.028,48.006,42.002,306.033,86.006,14.002,22.001,33.003,66.011,90.001,50.0,350.999,146.999,103.0,61.996,205.997,73.0,878.931,251.985,47.0,39.999,439.997
1990-01-02,874.571,1910.006,141.019,48.001,217.002,67.001,17.001,90.003,47.0,21.001,51.02,44.002,211.018,14.001,24.006,124.002,99.028,21.016,94.046,48.008,42.007,306.21,86.007,14.002,22.002,33.009,66.022,90.001,49.999,350.992,146.998,102.999,61.994,205.992,73.0,878.905,251.97,47.0,39.999,439.987
1990-01-03,874.639,1910.029,141.026,48.001,217.002,67.001,17.001,90.003,47.0,21.001,51.021,44.003,211.058,14.005,24.007,124.002,99.038,21.026,94.08,48.016,42.008,306.215,86.007,14.003,22.004,33.017,66.025,90.012,49.995,350.991,146.998,102.999,61.987,205.981,72.999,878.869,251.966,47.0,39.998,439.983
1990-01-04,874.683,1910.035,141.071,48.001,217.004,67.001,17.001,90.004,47.0,21.002,51.021,44.006,211.061,14.005,24.008,124.002,99.043,21.032,94.09,48.018,42.029,306.219,86.007,14.003,22.005,33.019,66.026,90.014,49.992,350.982,146.998,102.999,61.986,205.979,72.999,878.868,251.932,46.999,39.998,439.98
1990-01-05,874.738,1910.047,141.087,48.002,217.004,67.002,17.002,90.007,47.0,21.002,51.022,44.007,211.065,14.005,24.01,124.008,99.062,21.038,94.095,48.02,42.03,306.232,86.01,14.004,22.008,33.023,66.027,90.018,49.99,350.979,146.997,102.999,61.985,205.975,72.999,878.856,251.92,46.999,39.997,439.976
1990-01-06,875.152,1910.049,141.089,48.002,217.005,67.002,17.002,90.009,47.0,21.003,51.024,44.014,211.069,14.007,24.01,124.008,99.092,21.04,94.101,48.021,42.033,306.302,86.011,14.004,22.009,33.024,66.043,90.018,49.988,350.977,146.997,102.998,61.983,205.975,72.999,878.855,251.917,46.999,39.996,439.976
1990-01-07,875.774,1910.058,141.093,48.002,217.005,67.002,17.003,90.009,47.0,21.005,51.025,44.015,211.075,14.008,24.011,124.018,99.097,21.041,94.118,48.031,42.038,306.508,86.014,14.005,22.011,33.027,66.063,90.019,49.988,350.973,146.996,102.997,61.983,205.973,72.999,878.848,251.9,46.999,39.996,439.971
1990-01-08,875.878,1910.063,141.1,48.002,217.006,67.003,17.004,90.011,47.0,21.006,51.044,44.015,211.076,14.01,24.011,124.019,99.097,21.042,94.121,48.035,42.041,306.563,86.017,14.005,22.013,33.035,66.074,90.023,49.988,350.966,146.995,102.997,61.983,205.973,72.997,878.822,251.876,46.999,39.996,439.965
1990-01-09,875.882,1910.066,141.1,48.002,217.007,67.003,17.004,90.011,47.0,21.006,51.052,44.016,211.078,14.01,24.015,124.023,99.098,21.063,94.129,48.039,42.044,306.659,86.018,14.006,22.013,33.037,66.078,90.028,49.988,350.963,146.992,102.997,61.98,205.967,72.997,878.796,251.832,46.999,39.995,439.964
1990-01-10,876.125,1910.069,141.11,48.003,217.008,67.003,17.004,90.015,47.0,21.008,51.056,44.021,211.097,14.01,24.016,124.026,99.108,21.065,94.137,48.044,42.045,306.752,86.021,14.007,22.018,33.039,66.082,90.031,49.987,350.952,146.992,102.996,61.98,205.966,72.997,878.786,251.826,46.999,39.994,439.962
